english_word,category
abandonment,슬픔/비탄 (Sadness/Grief)
abashed,수치/죄책감 (Shame/Guilt)
abhor,혐오/경멸 (Disgust/Contempt)
abhorrence,혐오/경멸 (Disgust/Contempt)
abhorrent,혐오/경멸 (Disgust/Contempt)
abrupt,놀라움/당황 (Surprise/Bewilderment)
abruptness,놀라움/당황 (Surprise/Bewilderment)
absentminded,중립/인지 (Neutral/Cognitive)
absorbed,중립/인지 (Neutral/Cognitive)
absorbing,중립/인지 (Neutral/Cognitive)
absurd,중립/인지 (Neutral/Cognitive)
absurdity,중립/인지 (Neutral/Cognitive)
absurdness,중립/인지 (Neutral/Cognitive)
acceptance,중립/인지 (Neutral/Cognitive)
accepted,중립/인지 (Neutral/Cognitive)
accepting,중립/인지 (Neutral/Cognitive)
accuse,중립/인지 (Neutral/Cognitive)
accused,중립/인지 (Neutral/Cognitive)
accusing,중립/인지 (Neutral/Cognitive)
ache,슬픔/비탄 (Sadness/Grief)
achieve,기쁨 (Joy/Happiness)
achievement,기쁨 (Joy/Happiness)
aching,슬픔/비탄 (Sadness/Grief)
active,중립/인지 (Neutral/Cognitive)
admiration,존경/감탄 (Admiration/Gratitude)
admire,존경/감탄 (Admiration/Gratitude)
admiring,존경/감탄 (Admiration/Gratitude)
adorable,사랑/애정 (Love/Affection)
adoration,사랑/애정 (Love/Affection)
adore,사랑/애정 (Love/Affection)
adoring,사랑/애정 (Love/Affection)
affected,중립/인지 (Neutral/Cognitive)
affection,사랑/애정 (Love/Affection)
affectionate,사랑/애정 (Love/Affection)
afraid,두려움/불안 (Fear/Anxiety)
aggravating,분노/짜증 (Anger/Irritation)
aggressive,분노/짜증 (Anger/Irritation)
agitated,중립/인지 (Neutral/Cognitive)
agitation,중립/인지 (Neutral/Cognitive)
agonize,슬픔/비탄 (Sadness/Grief)
agonizing,슬픔/비탄 (Sadness/Grief)
agony,슬픔/비탄 (Sadness/Grief)
agreeable,사랑/애정 (Love/Affection)
agreeableness,사랑/애정 (Love/Affection)
alarm,두려움/불안 (Fear/Anxiety)
alarmed,두려움/불안 (Fear/Anxiety)
alarming,두려움/불안 (Fear/Anxiety)
alert,중립/인지 (Neutral/Cognitive)
alertness,중립/인지 (Neutral/Cognitive)
amazed,기쁨 (Joy/Happiness)
amazement,기쁨 (Joy/Happiness)
amazing,기쁨 (Joy/Happiness)
ample,존경/감탄 (Admiration/Gratitude)
amused,기쁨 (Joy/Happiness)
amusement,기쁨 (Joy/Happiness)
amusing,기쁨 (Joy/Happiness)
anger,분노/짜증 (Anger/Irritation)
angry,분노/짜증 (Anger/Irritation)
anguish,슬픔/비탄 (Sadness/Grief)
anguished,슬픔/비탄 (Sadness/Grief)
animosity,분노/짜증 (Anger/Irritation)
annoyance,분노/짜증 (Anger/Irritation)
annoyed,분노/짜증 (Anger/Irritation)
annoying,분노/짜증 (Anger/Irritation)
antagonism,분노/짜증 (Anger/Irritation)
antagonize,분노/짜증 (Anger/Irritation)
anticipate,갈망/그리움 (Desire/Longing)
antipathy,혐오/경멸 (Disgust/Contempt)
anxiety,두려움/불안 (Fear/Anxiety)
anxious,두려움/불안 (Fear/Anxiety)
anxiousness,두려움/불안 (Fear/Anxiety)
apathetic,중립/인지 (Neutral/Cognitive)
apathy,중립/인지 (Neutral/Cognitive)
apologetic,수치/죄책감 (Shame/Guilt)
apology,수치/죄책감 (Shame/Guilt)
appalled,혐오/경멸 (Disgust/Contempt)
appalling,혐오/경멸 (Disgust/Contempt)
appreciate,존경/감탄 (Admiration/Gratitude)
appreciating,존경/감탄 (Admiration/Gratitude)
appreciation,존경/감탄 (Admiration/Gratitude)
apprehend,중립/인지 (Neutral/Cognitive)
apprehension,두려움/불안 (Fear/Anxiety)
apprehensive,두려움/불안 (Fear/Anxiety)
approval,존경/감탄 (Admiration/Gratitude)
approve,존경/감탄 (Admiration/Gratitude)
approving,존경/감탄 (Admiration/Gratitude)
ardent,자부심/자신감 (Pride/Confidence)
arduous,중립/인지 (Neutral/Cognitive)
argumentative,분노/짜증 (Anger/Irritation)
arrogance,자부심/자신감 (Pride/Confidence)
arrogant,자부심/자신감 (Pride/Confidence)
ashamed,수치/죄책감 (Shame/Guilt)
aspire,갈망/그리움 (Desire/Longing)
aspiring,갈망/그리움 (Desire/Longing)
assessing,중립/인지 (Neutral/Cognitive)
assessment,중립/인지 (Neutral/Cognitive)
assured,자부심/자신감 (Pride/Confidence)
assuring,자부심/자신감 (Pride/Confidence)
astonished,놀라움/당황 (Surprise/Bewilderment)
astonishment,놀라움/당황 (Surprise/Bewilderment)
astounded,놀라움/당황 (Surprise/Bewilderment)
astounding,놀라움/당황 (Surprise/Bewilderment)
astoundment,놀라움/당황 (Surprise/Bewilderment)
astringent,중립/인지 (Neutral/Cognitive)
attached,사랑/애정 (Love/Affection)
attachment,사랑/애정 (Love/Affection)
attack,중립/인지 (Neutral/Cognitive)
attacked,중립/인지 (Neutral/Cognitive)
attainment,중립/인지 (Neutral/Cognitive)
attracted,중립/인지 (Neutral/Cognitive)
attracting,중립/인지 (Neutral/Cognitive)
attraction,중립/인지 (Neutral/Cognitive)
avarice,중립/인지 (Neutral/Cognitive)
avaricious,중립/인지 (Neutral/Cognitive)
aversion,혐오/경멸 (Disgust/Contempt)
avoid,혐오/경멸 (Disgust/Contempt)
aware,중립/인지 (Neutral/Cognitive)
awe,존경/감탄 (Admiration/Gratitude)
awe-struck,존경/감탄 (Admiration/Gratitude)
awe-struckness,존경/감탄 (Admiration/Gratitude)
awesome,존경/감탄 (Admiration/Gratitude)
awkward,놀라움/당황 (Surprise/Bewilderment)
awkwardness,놀라움/당황 (Surprise/Bewilderment)
bad-tempered,분노/짜증 (Anger/Irritation)
baffled,놀라움/당황 (Surprise/Bewilderment)
bafflement,놀라움/당황 (Surprise/Bewilderment)
baffling,놀라움/당황 (Surprise/Bewilderment)
banal,혐오/경멸 (Disgust/Contempt)
banality,혐오/경멸 (Disgust/Contempt)
bashful,수치/죄책감 (Shame/Guilt)
bashfulness,수치/죄책감 (Shame/Guilt)
be afraid,두려움/불안 (Fear/Anxiety)
be agitated,두려움/불안 (Fear/Anxiety)
be amazed,놀라움/당황 (Surprise/Bewilderment)
be angry,분노/짜증 (Anger/Irritation)
be annoyed,분노/짜증 (Anger/Irritation)
be appalled,혐오/경멸 (Disgust/Contempt)
be apprehensive,두려움/불안 (Fear/Anxiety)
be astonished,놀라움/당황 (Surprise/Bewilderment)
be aversive,혐오/경멸 (Disgust/Contempt)
be baffled,놀라움/당황 (Surprise/Bewilderment)
be bewildered,놀라움/당황 (Surprise/Bewilderment)
be broken-hearted,슬픔/비탄 (Sadness/Grief)
be captivated,존경/감탄 (Admiration/Gratitude)
be careful,중립/인지 (Neutral/Cognitive)
be caught,놀라움/당황 (Surprise/Bewilderment)
be complacent,중립/인지 (Neutral/Cognitive)
be conceited,자부심/자신감 (Pride/Confidence)
be concerned,중립/인지 (Neutral/Cognitive)
be confident,자부심/자신감 (Pride/Confidence)
be confounded,놀라움/당황 (Surprise/Bewilderment)
be content,평온/안정 (Calm/Comfort)
be convinced,자부심/자신감 (Pride/Confidence)
be cranky,분노/짜증 (Anger/Irritation)
be creepy,두려움/불안 (Fear/Anxiety)
be daunted,두려움/불안 (Fear/Anxiety)
be delighted,기쁨 (Joy/Happiness)
be depressed,슬픔/비탄 (Sadness/Grief)
be deprived,슬픔/비탄 (Sadness/Grief)
be desperate,갈망/그리움 (Desire/Longing)
be devastated,슬픔/비탄 (Sadness/Grief)
be disappointed,슬픔/비탄 (Sadness/Grief)
be discouraged,슬픔/비탄 (Sadness/Grief)
be disgusted,혐오/경멸 (Disgust/Contempt)
be disheartened,슬픔/비탄 (Sadness/Grief)
be dispirited,슬픔/비탄 (Sadness/Grief)
be disturbed,중립/인지 (Neutral/Cognitive)
be downhearted,슬픔/비탄 (Sadness/Grief)
be dumbfounded,놀라움/당황 (Surprise/Bewilderment)
be dumbstruck,놀라움/당황 (Surprise/Bewilderment)
be elated,기쁨 (Joy/Happiness)
be enamored,사랑/애정 (Love/Affection)
be encouraged,자부심/자신감 (Pride/Confidence)
be enraged,분노/짜증 (Anger/Irritation)
be enraptured,존경/감탄 (Admiration/Gratitude)
be excited,기쁨 (Joy/Happiness)
be exhilarated,기쁨 (Joy/Happiness)
be fanatic,자부심/자신감 (Pride/Confidence)
be fascinated,존경/감탄 (Admiration/Gratitude)
be flabbergasted,놀라움/당황 (Surprise/Bewilderment)
be frantic,두려움/불안 (Fear/Anxiety)
be frightened,두려움/불안 (Fear/Anxiety)
be frustrated,분노/짜증 (Anger/Irritation)
be furious,분노/짜증 (Anger/Irritation)
be fussy,분노/짜증 (Anger/Irritation)
be gleeful,기쁨 (Joy/Happiness)
be happy,기쁨 (Joy/Happiness)
be heartbroken,슬픔/비탄 (Sadness/Grief)
be hostile,분노/짜증 (Anger/Irritation)
be hurt,슬픔/비탄 (Sadness/Grief)
be indignant,분노/짜증 (Anger/Irritation)
be infuriated,분노/짜증 (Anger/Irritation)
be intimidated,두려움/불안 (Fear/Anxiety)
be irritated,분노/짜증 (Anger/Irritation)
be jealous,중립/인지 (Neutral/Cognitive)
be mad,분노/짜증 (Anger/Irritation)
be merry,기쁨 (Joy/Happiness)
be mesmerized,존경/감탄 (Admiration/Gratitude)
be moved,존경/감탄 (Admiration/Gratitude)
be nauseated,혐오/경멸 (Disgust/Contempt)
be nervous,두려움/불안 (Fear/Anxiety)
be outraged,분노/짜증 (Anger/Irritation)
be perplexed,놀라움/당황 (Surprise/Bewilderment)
be pleased,존경/감탄 (Admiration/Gratitude)
be pricked,수치/죄책감 (Shame/Guilt)
be proud,자부심/자신감 (Pride/Confidence)
be puzzled,놀라움/당황 (Surprise/Bewilderment)
be raged,분노/짜증 (Anger/Irritation)
be relieved,평온/안정 (Calm/Comfort)
be reluctant,중립/인지 (Neutral/Cognitive)
be sad,슬픔/비탄 (Sadness/Grief)
be satisfied,존경/감탄 (Admiration/Gratitude)
be scared,두려움/불안 (Fear/Anxiety)
be shaken,두려움/불안 (Fear/Anxiety)
be shocked,놀라움/당황 (Surprise/Bewilderment)
be short-tempered,분노/짜증 (Anger/Irritation)
be sickened,혐오/경멸 (Disgust/Contempt)
be sorrowful,슬픔/비탄 (Sadness/Grief)
be stabbed,놀라움/당황 (Surprise/Bewilderment)
be stable,평온/안정 (Calm/Comfort)
be staggered,놀라움/당황 (Surprise/Bewilderment)
be stolen,놀라움/당황 (Surprise/Bewilderment)
be strained,두려움/불안 (Fear/Anxiety)
be surprised,놀라움/당황 (Surprise/Bewilderment)
be terrified,두려움/불안 (Fear/Anxiety)
be tightened,두려움/불안 (Fear/Anxiety)
be touched,존경/감탄 (Admiration/Gratitude)
be unsettled,두려움/불안 (Fear/Anxiety)
be weary,슬픔/비탄 (Sadness/Grief)
be wistful,갈망/그리움 (Desire/Longing)
be withered,슬픔/비탄 (Sadness/Grief)
bear,중립/인지 (Neutral/Cognitive)
beautiful,기쁨 (Joy/Happiness)
beauty,기쁨 (Joy/Happiness)
begrudge,분노/짜증 (Anger/Irritation)
being affected,중립/인지 (Neutral/Cognitive)
being moved,존경/감탄 (Admiration/Gratitude)
being pricked,수치/죄책감 (Shame/Guilt)
being reassured,존경/감탄 (Admiration/Gratitude)
being stabbed,놀라움/당황 (Surprise/Bewilderment)
being touched,존경/감탄 (Admiration/Gratitude)
being upset,슬픔/비탄 (Sadness/Grief)
beloved,사랑/애정 (Love/Affection)
beloving,사랑/애정 (Love/Affection)
bemoan,슬픔/비탄 (Sadness/Grief)
benevolent,사랑/애정 (Love/Affection)
best,기쁨 (Joy/Happiness)
bewail,슬픔/비탄 (Sadness/Grief)
bewailment,슬픔/비탄 (Sadness/Grief)
bewildered,놀라움/당황 (Surprise/Bewilderment)
bewildering,놀라움/당황 (Surprise/Bewilderment)
bewilderment,놀라움/당황 (Surprise/Bewilderment)
bitter,슬픔/비탄 (Sadness/Grief)
bitterness,슬픔/비탄 (Sadness/Grief)
bittersweet,슬픔/비탄 (Sadness/Grief)
