korean_word,category
가련,슬픔/비탄 (Sadness/Grief)
가련하다,슬픔/비탄 (Sadness/Grief)
가소로움,혐오/경멸 (Disgust/Contempt)
가소롭다,혐오/경멸 (Disgust/Contempt)
가슴 시린,슬픔/비탄 (Sadness/Grief)
가여움,슬픔/비탄 (Sadness/Grief)
가엾다,슬픔/비탄 (Sadness/Grief)
가증스러움,혐오/경멸 (Disgust/Contempt)
가증스럽다,혐오/경멸 (Disgust/Contempt)
가책,수치/죄책감 (Shame/Guilt)
가혹하다,혐오/경멸 (Disgust/Contempt)
가혹함,혐오/경멸 (Disgust/Contempt)
각별하다,사랑/애정 (Love/Affection)
각성도,중립/인지 (Neutral/Cognitive)
간절하다,갈망/그리움 (Desire/Longing)
간절함,갈망/그리움 (Desire/Longing)
간질간질하다,기쁨 (Joy/Happiness)
갇힌,두려움/불안 (Fear/Anxiety)
갈등하는,중립/인지 (Neutral/Cognitive)
갈등하다,중립/인지 (Neutral/Cognitive)
갈망,갈망/그리움 (Desire/Longing)
갈망하는,갈망/그리움 (Desire/Longing)
갈망하다,갈망/그리움 (Desire/Longing)
감개무량하다,존경/감탄 (Admiration/Gratitude)
감동,존경/감탄 (Admiration/Gratitude)
감동하다,존경/감탄 (Admiration/Gratitude)
감동한,존경/감탄 (Admiration/Gratitude)
감명,존경/감탄 (Admiration/Gratitude)
감명받다,존경/감탄 (Admiration/Gratitude)
감미로움,기쁨 (Joy/Happiness)
감미롭다,기쁨 (Joy/Happiness)
감복,존경/감탄 (Admiration/Gratitude)
감복하는,존경/감탄 (Admiration/Gratitude)
감복하다,존경/감탄 (Admiration/Gratitude)
감사,존경/감탄 (Admiration/Gratitude)
감사하는,존경/감탄 (Admiration/Gratitude)
감사하다,존경/감탄 (Admiration/Gratitude)
감상,중립/인지 (Neutral/Cognitive)
감상적인,중립/인지 (Neutral/Cognitive)
감정,중립/인지 (Neutral/Cognitive)
감정하다,중립/인지 (Neutral/Cognitive)
감탄,존경/감탄 (Admiration/Gratitude)
감탄하는,존경/감탄 (Admiration/Gratitude)
감탄하다,존경/감탄 (Admiration/Gratitude)
감흥,기쁨 (Joy/Happiness)
갑작스러움,놀라움/당황 (Surprise/Bewilderment)
갑작스럽다,놀라움/당황 (Surprise/Bewilderment)
강력한,자부심/자신감 (Pride/Confidence)
강박,두려움/불안 (Fear/Anxiety)
강박적인,두려움/불안 (Fear/Anxiety)
개의치않다,중립/인지 (Neutral/Cognitive)
개의하다,중립/인지 (Neutral/Cognitive)
개탄,분노/짜증 (Anger/Irritation)
개탄스럽다,분노/짜증 (Anger/Irritation)
개탄하다,분노/짜증 (Anger/Irritation)
객관적이다,중립/인지 (Neutral/Cognitive)
객관적임,중립/인지 (Neutral/Cognitive)
거들먹거리는,중립/인지 (Neutral/Cognitive)
거뜬하다,자부심/자신감 (Pride/Confidence)
거뜬함,자부심/자신감 (Pride/Confidence)
거리낌,두려움/불안 (Fear/Anxiety)
거만,중립/인지 (Neutral/Cognitive)
거부,중립/인지 (Neutral/Cognitive)
거부감,중립/인지 (Neutral/Cognitive)
거북하다,중립/인지 (Neutral/Cognitive)
거북함,중립/인지 (Neutral/Cognitive)
거슬리는,혐오/경멸 (Disgust/Contempt)
거슬리다,혐오/경멸 (Disgust/Contempt)
거슬림,혐오/경멸 (Disgust/Contempt)
거절된,중립/인지 (Neutral/Cognitive)
거짓,혐오/경멸 (Disgust/Contempt)
거짓말,혐오/경멸 (Disgust/Contempt)
거짓말하는,혐오/경멸 (Disgust/Contempt)
걱정,두려움/불안 (Fear/Anxiety)
걱정되는,두려움/불안 (Fear/Anxiety)
걱정하는,두려움/불안 (Fear/Anxiety)
걱정하다,두려움/불안 (Fear/Anxiety)
겁,두려움/불안 (Fear/Anxiety)
겁나다,두려움/불안 (Fear/Anxiety)
겁내는,두려움/불안 (Fear/Anxiety)
겁내다,두려움/불안 (Fear/Anxiety)
겁먹은,두려움/불안 (Fear/Anxiety)
겁에 질린,두려움/불안 (Fear/Anxiety)
겁이 많은,두려움/불안 (Fear/Anxiety)
겁쟁이,두려움/불안 (Fear/Anxiety)
격노,분노/짜증 (Anger/Irritation)
격노하다,분노/짜증 (Anger/Irritation)
격동,놀라움/당황 (Surprise/Bewilderment)
격동되다,놀라움/당황 (Surprise/Bewilderment)
격려,존경/감탄 (Admiration/Gratitude)
격분,분노/짜증 (Anger/Irritation)
격분하다,분노/짜증 (Anger/Irritation)
격분한,분노/짜증 (Anger/Irritation)
격앙,분노/짜증 (Anger/Irritation)
격앙되다,분노/짜증 (Anger/Irritation)
격앙하다,분노/짜증 (Anger/Irritation)
격양,분노/짜증 (Anger/Irritation)
격양되다,분노/짜증 (Anger/Irritation)
격양하다,분노/짜증 (Anger/Irritation)
격정,중립/인지 (Neutral/Cognitive)
격정적인,중립/인지 (Neutral/Cognitive)
격하다,중립/인지 (Neutral/Cognitive)
결단,자부심/자신감 (Pride/Confidence)
결례,혐오/경멸 (Disgust/Contempt)
결심,자부심/자신감 (Pride/Confidence)
결연하다,자부심/자신감 (Pride/Confidence)
결연함,자부심/자신감 (Pride/Confidence)
겸손하다,자부심/자신감 (Pride/Confidence)
겸연쩍다,수치/죄책감 (Shame/Guilt)
경계,두려움/불안 (Fear/Anxiety)
경계하는,두려움/불안 (Fear/Anxiety)
경계하다,두려움/불안 (Fear/Anxiety)
경멸,혐오/경멸 (Disgust/Contempt)
경멸하다,혐오/경멸 (Disgust/Contempt)
경악,놀라움/당황 (Surprise/Bewilderment)
경악하다,놀라움/당황 (Surprise/Bewilderment)
경악한,놀라움/당황 (Surprise/Bewilderment)
경애,존경/감탄 (Admiration/Gratitude)
경애하다,존경/감탄 (Admiration/Gratitude)
경외감,존경/감탄 (Admiration/Gratitude)
경외하다,존경/감탄 (Admiration/Gratitude)
경이로워하다,존경/감탄 (Admiration/Gratitude)
경이롭다,존경/감탄 (Admiration/Gratitude)
경청하는,존경/감탄 (Admiration/Gratitude)
경쾌,기쁨 (Joy/Happiness)
경쾌하다,기쁨 (Joy/Happiness)
경탄,존경/감탄 (Admiration/Gratitude)
경탄하는,존경/감탄 (Admiration/Gratitude)
경탄하다,존경/감탄 (Admiration/Gratitude)
고뇌,슬픔/비탄 (Sadness/Grief)
고뇌하는,슬픔/비탄 (Sadness/Grief)
고뇌하다,슬픔/비탄 (Sadness/Grief)
고단하다,슬픔/비탄 (Sadness/Grief)
고단함,슬픔/비탄 (Sadness/Grief)
고달프다,슬픔/비탄 (Sadness/Grief)
고달픔,슬픔/비탄 (Sadness/Grief)
고대하다,갈망/그리움 (Desire/Longing)
고독,슬픔/비탄 (Sadness/Grief)
고독하다,슬픔/비탄 (Sadness/Grief)
고되다,슬픔/비탄 (Sadness/Grief)
고됨,슬픔/비탄 (Sadness/Grief)
고립감,슬픔/비탄 (Sadness/Grief)
고마움,존경/감탄 (Admiration/Gratitude)
고마워하다,존경/감탄 (Admiration/Gratitude)
고맙다,존경/감탄 (Admiration/Gratitude)
고무되다,존경/감탄 (Admiration/Gratitude)
고무된,존경/감탄 (Admiration/Gratitude)
고민,중립/인지 (Neutral/Cognitive)
고민하는,중립/인지 (Neutral/Cognitive)
